[2026-04-30 22:18:33] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.07193732504326879
[2026-04-30 22:18:33] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:18:33] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:18:33] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:18:34] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:18:46] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.0835). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:18:46] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.08354928819301054
[2026-04-30 22:18:46] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:18:46] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:18:46] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:18:47] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:18:59] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.0955). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:18:59] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.0955012497654249
[2026-04-30 22:18:59] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:18:59] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:18:59] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:19:00] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:19:12] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.1078). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:19:12] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.10776037810966076
[2026-04-30 22:19:12] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:19:12] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:19:12] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:19:13] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:19:26] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.1203). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:19:26] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.12029392434330616
[2026-04-30 22:19:26] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:19:26] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:19:26] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:19:27] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:19:39] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.1331). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:19:39] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.13306882771413484
[2026-04-30 22:19:39] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:19:39] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:19:39] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:19:40] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:19:52] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.1461). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:19:52] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.14605162579253675
[2026-04-30 22:19:52] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:19:53] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:19:53] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:19:54] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:20:06] [DEBUG   ] [core.time_integration] Progression de l'intégration : Étape 10/100
[2026-04-30 22:20:06] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.1592). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:20:06] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.15920844932424905
[2026-04-30 22:20:06] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:20:06] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:20:06] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:20:07] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:20:19] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.1725). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:20:19] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.1725050481159271
[2026-04-30 22:20:19] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:20:19] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:20:19] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:20:20] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:20:33] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.1859). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:20:33] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.18590683067677258
[2026-04-30 22:20:33] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:20:33] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:20:33] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:20:34] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:20:46] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.1994). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:20:46] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.19937891091819912
[2026-04-30 22:20:46] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:20:46] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:20:46] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:20:47] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:21:00] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.2129). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:21:00] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.21288615873817718
[2026-04-30 22:21:00] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:21:00] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:21:00] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:21:01] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:21:13] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.2264). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:21:13] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.2263932526062872
[2026-04-30 22:21:13] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:21:13] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:21:13] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:21:14] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:21:27] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.2399). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:21:27] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.2398647328224484
[2026-04-30 22:21:27] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:21:27] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:21:27] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:21:28] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:21:40] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.2533). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:21:40] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.2532650544411913
[2026-04-30 22:21:40] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:21:40] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:21:40] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:21:41] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:21:54] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.2666). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:21:54] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.2665586390901498
[2026-04-30 22:21:54] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:21:54] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:21:54] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:21:55] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:22:07] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.2797). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:22:07] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.2797099251095051
